DISTRICT_AREA,NAME,SURFACE,MALE,FEMALE,0-9,10-18,19-21,22-30,31-50,51-70,71+
CITY,CITY,,1308072,1387526,253669,297068,189697,513062,769591,494133,178372
1,Far North Side,,226722,226982,39411,39945,25673,81777,142179,89326,35393
2,Northwest Side,,137282,139312,28585,33326,19009,44038,80987,53545,17104
3,North Side,,150326,152882,24674,18866,13939,96850,94972,40942,12964
4,West Side,,239655,241032,49361,57499,38443,99534,137670,75848,22331
5,Central,,61960,69197,6021,3421,6621,39845,39545,26601,9103
6,South Side,,116744,141176,22291,28785,20550,43443,67290,54255,21303
7,Southwest Side,,191597,197950,46805,60338,32980,59778,104464,63289,21893
8,Far Southwest Side,,81955,96033,15650,24023,14119,20695,46788,40211,16502
9,Far Southeast Side,,101831,122962,20871,30865,18363,27102,55696,50116,21779
01,A01 Rogers Park,1.85,27752,27239,4864,4507,4067,11964,17720,9340,2529
02,A02 West Ridge,3.53,35522,36420,7888,8542,4426,10799,20283,14573,5431
03,A03 Uptown,2.35,29512,26850,3692,2985,1895,13608,20001,10309,3872
04,A04 Lincoln Square,2.57,19309,20184,3403,2601,1437,8841,14329,6770,2112
05,A05 North Center,2.07,15557,16310,3655,2098,712,7628,12057,4322,1395
06,A06 Lake View,3.16,47000,47368,5420,2729,2103,39138,29255,11432,4290
07,A07 Lincoln Park,3.19,30430,33686,4166,2918,4607,22513,17602,9377,2933
08,A08 Near N. Side,2.72,37337,43147,3303,2133,2192,24907,23578,17714,6657
09,A09 Edison Park,1.17,5367,5820,950,1215,466,1292,3334,2602,1328
10,A10 Norwood Park,4.29,17522,19501,3004,3773,1778,3675,10408,9036,5349
11,A11 Jefferson Park,2.35,12293,13155,2099,2492,1358,3356,7702,5935,2506
12,A12 Forest Glen,3.21,8934,9574,1723,2363,908,1459,5228,4804,2023
13,A13 North Park,2.07,8649,9282,1456,1939,1310,2543,4475,3926,2282
14,A14 Albany Park,1.93,26407,25135,5795,5858,3857,10023,15573,7959,2477
15,A15 Portage Park,3.98,31337,32787,6057,6913,4106,9728,18821,13960,4539
16,A16 Irving Park,3.23,26674,26685,5346,5642,3043,9446,17363,9726,2793
17,A17 Dunning,3.75,20504,21428,3305,4110,2465,5689,11817,10282,4264
18,A18 Montclare,0.99,6592,6834,1347,1609,859,1961,3642,2866,1142
19,A19 Belmont Cragin,3.94,39609,39134,9452,11415,6408,12974,22281,12766,3447
20,A20 Hermosa,1.17,12566,12444,3078,3637,2128,4240,7063,3945,919
21,A21 Avondale,2.00,20119,19143,4283,4451,2511,8111,11894,6239,1773
22,A22 Logan Square,3.23,37220,36375,7150,6670,4006,19460,24164,9572,2573
23,A23 Humboldt Park,3.98,27273,29050,6810,8469,4986,9315,14967,9421,2355
24,A24 West Town,4.57,41643,39789,6513,4947,3126,25274,28478,9859,3234
25,A25 Austin,7.16,45189,53325,10016,13365,8610,13654,25214,21387,6268
26,A26 W. Garfield P.,1.28,8302,9699,1984,2789,1847,2473,4460,3242,1206
27,A27 E. Garfield P.,1.94,9535,11032,2172,3091,1984,3028,5490,3648,1154
28,A28 Near West Side,5.75,26974,27907,3781,3051,4375,17026,17216,7274,2158
29,A29 N. Lawndale,3.20,16517,19395,4297,5908,3505,5249,8846,5975,2132
30,A30 S. Lawndale,4.40,45395,33893,9992,11084,7244,15736,22853,10044,2335
