DISTRICT_AREA,NAME
CITY,CITY
1,Far North Side
2,Northwest Side
3,North Side
4,West Side
5,Central
6,South Side
7,Southwest Side
8,Far Southwest Side
9,Far Southeast Side
1,Area 01 Rogers Park
2,Area 02 West Ridge
3,Area 03 Uptown
4,Area 04 Lincoln Square
5,Area 05 North Center
6,Area 06 Lake View
7,Area 07 Lincoln Park
8,Area 08 Near North Side
9,Area 09 Edison Park
10,Area 10 Norwood Park
11,Area 11 Jefferson Park
12,Area 12 Forest Glen
13,Area 13 North Park
14,Area 14 Albany Park
15,Area 15 Portage Park
16,Area 16 Irving Park
17,Area 17 Dunning
18,Area 18 Montclare
19,Area 19 Belmont Cragin
20,Area 20 Hermosa
21,Area 21 Avondale
22,Area 22 Logan Square
23,Area 23 Humboldt Park
24,Area 24 West Town
25,Area 25 Austin
26,Area 26 West Garfield Park
27,Area 27 East Garfield Park
28,Area 28 Near West Side
29,Area 29 North Lawndale
30,Area 30 South Lawndale
31,Area 31 Lower West Side
32,Area 32 Loop
33,Area 33 Near South Side
34,Area 34 Armour Square
35,Area 35 Douglas
36,Area 36 Oakland
37,Area 37 Fuller Park
38,Area 38 Grand Boulevard
39,Area 39 Kenwood
40,Area 40 Washington Park
41,Area 41 Hyde Park
42,Area 42 Woodlawn
43,Area 43 South Shore
44,Area 44 Chatham
45,Area 45 Avalon Park
46,Area 46 South Chicago
47,Area 47 Burnside
48,Area 48 Calumet Heights
49,Area 49 Roseland
50,Area 50 Pullman
51,Area 51 South Deering
52,Area 52 East Side
53,Area 53 West Pullman
54,Area 54 Riverdale
55,Area 55 Hegewisch
56,Area 56 Garfield Ridge
57,Area 57 Archer Heights
58,Area 58 Brighton Park
59,Area 59 Mckinley Park
60,Area 60 Bridgeport
61,Area 61 New City
62,Area 62 West Elsdon
63,Area 63 Gage Park
64,Area 64 Clearing
65,Area 65 West Lawn
66,Area 66 Chicago Lawn
67,Area 67 West Englewood
68,Area 68 Englewood
69,Area 69 Greater Grand Crossing
70,Area 70 Ashburn
71,Area 71 Auburn Gresham
72,Area 72 Beverly
73,Area 73 Washington Heights
74,Area 74 Mount Greenwood
75,Area 75 Morgan Park
76,Area 76 Ohare
77,Area 77 Edgewater 
