DISTRICT_AREA,NAME,ASIA,CENTRAL AMERICA,SOUTH AMERICA,EUROPE,OTHERS
CITY,CITY,141672,722872,31822,4870,53620
1,Far North Side,54163,81168,9625,1267,14229
2,Northwest Side,10549,137027,9151,637,12978
3,North Side,13186,69192,5689,923,7893
4,West Side,12347,157880,3065,653,7602
5,Central,15703,5012,1341,472,1905
6,South Side,27696,12733,681,251,1413
7,Southwest Side,7053,205031,1824,415,5833
8,Far Southwest Side,650,17992,267,130,646
9,Far Southeast Side,325,36837,179,122,1121
01,A01 Rogers Park,3328,12239,624,156,1149
02,A02 West Ridge,15456,12912,1203,151,2011
03,A03 Uptown,6138,6589,897,175,1396
04,A04 Lincoln Square,4164,6200,922,125,1409
05,A05 North Center,1414,3618,443,93,652
06,A06 Lake View,5471,5624,972,327,1351
07,A07 Lincoln Park,3195,2760,513,177,693
08,A08 Near N. Side,7928,2627,829,302,1162
09,A09 Edison Park,260,754,76,25,97
10,A10 Norwood Park,1668,3819,415,118,532
11,A11 Jefferson Park,2198,4310,453,41,619
12,A12 Forest Glen,1926,1694,321,53,404
13,A13 North Park,4449,2568,481,43,697
14,A14 Albany Park,7280,21092,3295,156,4378
15,A15 Portage Park,2943,21911,2260,161,2868
16,A16 Irving Park,3701,21186,2321,134,3104
17,A17 Dunning,1577,8924,754,57,1048
18,A18 Montclare,388,6772,352,16,473
19,A19 Belmont Cragin,1618,57676,2793,219,4233
20,A20 Hermosa,322,20558,671,50,1252
21,A21 Avondale,1209,22691,1926,114,2508
22,A22 Logan Square,1897,34499,1835,212,2689
23,A23 Humboldt Park,285,28929,518,61,1042
24,A24 West Town,2938,22097,1042,229,1609
25,A25 Austin,588,8039,325,40,645
26,A26 W. Garfield P.,11,295,15,5,48
27,A27 E. Garfield P.,86,738,11,8,107
28,A28 Near West Side,7812,4266,443,126,746
29,A29 N. Lawndale,74,1966,42,12,166
30,A30 S. Lawndale,153,63096,294,90,2271
31,A31 Lower W. Side,400,28454,375,82,968
32,A32 Loop,4551,1488,314,103,471
33,A33 Near S. Side,3224,897,198,67,272
34,A34 Armour S.,9666,400,26,8,86
35,A35 Douglas,2266,374,30,39,74
36,A36 Oakland,33,77,2,1,9
37,A37 Fuller Park,7,131,0,1,0
38,A38 G. Boulevard,55,355,14,3,34
39,A39 Kenwood,928,402,90,25,144
40,A40 Washington P.,12,82,0,1,21
41,A41 Hyde Park,3141,1180,296,92,385
42,A42 Woodlawn,555,398,54,30,121
43,A43 South Shore,89,739,34,10,112
44,A44 Chatham,24,270,10,7,36
45,A45 Avalon Park,14,138,2,3,15
46,A46 South Chicago,69,6422,17,40,319
47,A47 Burnside,0,19,0,0,0
48,A48 Calumet Heights,25,530,9,6,31
49,A49 Roseland,23,376,13,15,66
50,A50 Pullman,6,541,3,8,23
51,A51 South Deering,20,4684,14,13,111
52,A52 East Side,69,17757,84,15,313
53,A53 West Pullman,14,1427,4,3,79
54,A54 Riverdale,2,125,0,1,6
55,A55 Hegewisch,59,4548,23,11,122
56,A56 Garfield Ridge,369,13105,202,44,379
57,A57 Archer Heights,142,9844,94,20,321
58,A58 Brighton Park,2251,37674,277,51,988
59,A59 Mckinley Park,2461,9778,102,33,298
60,A60 Bridgeport,10923,8235,125,38,402
61,A61 New City,733,24544,74,75,823
62,A62 West Elsdon,244,14008,132,12,292
63,A63 Gage Park,153,34895,268,45,651
64,A64 Clearing,221,9672,205,49,769
65,A65 West Lawn,224,26028,283,41,596
66,A66 Chicago Lawn,200,24477,173,44,622
67,A67 W. Englewood,21,728,8,0,47
68,A68 Englewood,34,278,6,1,47
69,A69 GCD,21,360,10,3,25
70,A70 Ashburn,276,14713,137,35,389
71,A71 Auburn Gresham,31,395,11,4,53
72,A72 Beverly,107,783,61,46,88
73,A73 Washington H.,12,227,7,1,31
74,A74 Mount G.,132,1300,32,29,53
75,A75 Morgan Park,92,574,19,15,32
76,A76 Ohare,908,995,152,24,320
77,A77 Edgewater ,6388,7996,786,200,1217
