DISTRICT_AREA,NAME,India,Bangladesh,Bhutan,Burmese,Cambodia,China,Philippines,Hmong,Indonesia,Japan,Korea,Laos,Malaysia,Nepal,Pakistan,Sri Lanka,Taiwan,Thailand,Vietnam,Mexico,Puerto Rico,Cuba,Dominican Republic,Costa Rica,Guatemala,Honduras,Nicaragua,Panama,San Salvador,Argentina,Bolivia,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela,Spaniard,Spain,Others
CITY,CITY,29948,624,276,648,1204,42060,29664,85,294,4347,11422,414,110,534,7008,335,1111,2658,8930,578100,102703,8331,2737,681,17973,5021,1239,883,5204,1743,626,876,7547,15466,101,4075,267,1121,3173,1697,53620
1,Far North Side,12667,471,276,531,956,5113,13292,42,70,1730,4339,233,38,439,5410,201,108,1117,7130,59777,10671,2481,389,181,5054,876,159,171,1409,402,155,226,2516,4579,20,1358,74,295,804,463,14229
2,Northwest Side,999,11,0,8,108,510,7096,6,9,266,434,39,2,4,210,4,14,304,525,91253,33251,1686,700,185,6267,1508,407,121,1649,263,145,134,2037,5138,21,1197,42,174,372,265,12978
3,North Side,3465,26,0,31,42,2144,3248,8,40,923,1806,44,21,19,336,49,171,489,324,44094,18686,1627,382,115,2684,735,175,132,562,386,115,179,1123,3014,21,603,51,197,648,275,7893
4,West Side,4443,30,0,11,22,2454,2322,16,17,347,1509,30,4,32,343,20,246,189,312,126848,25461,1108,784,67,1706,950,130,127,699,229,82,121,711,1396,10,341,18,157,406,247,7602
5,Central,5791,37,0,22,34,3737,1706,7,78,656,2207,24,24,15,409,24,382,290,260,3251,891,432,110,39,92,55,36,63,43,254,57,79,359,239,16,164,19,154,342,130,1905
6,South Side,2163,49,0,39,11,22492,697,4,63,313,1018,17,15,25,211,34,183,151,211,10199,1660,305,120,26,155,79,20,115,54,91,14,73,209,120,2,95,18,59,165,86,1413
7,Southwest Side,263,0,0,6,16,5452,910,0,16,46,51,21,4,0,69,1,6,73,119,193083,8195,389,186,39,1657,625,282,44,531,75,40,51,438,893,4,224,39,60,286,129,5833
8,Far Southwest Side,118,0,0,0,3,129,239,2,0,38,41,2,2,0,14,2,1,34,25,15981,1471,137,39,21,172,58,13,44,56,27,17,9,109,51,7,36,4,7,94,36,646
9,Far Southeast Side,39,0,0,0,12,29,154,0,1,28,17,4,0,0,6,0,0,11,24,33614,2417,166,27,8,186,135,17,66,201,16,1,4,45,36,0,57,2,18,56,66,1121
01,Area 01,740,19,213,224,28,503,632,4,5,126,183,7,10,83,343,7,13,40,148,10268,869,215,72,22,384,98,19,32,260,67,15,35,173,136,1,133,16,48,82,74,1149
02,Area 02,5391,268,34,44,103,1299,2082,3,12,263,673,49,7,65,2832,109,12,149,2061,10061,1245,367,37,26,668,109,32,21,346,47,19,50,452,371,0,236,16,12,91,60,2011
03,Area 03,733,68,0,32,94,783,1077,23,12,259,724,20,8,5,569,27,25,227,1452,4665,957,264,49,23,468,79,10,13,61,62,24,31,199,444,3,64,7,63,121,54,1396
04,Area 04,504,28,0,20,91,371,1506,3,7,181,429,17,5,9,370,2,12,203,406,4212,875,258,24,19,568,82,15,18,129,46,5,24,375,262,11,171,9,19,67,58,1409
05,Area 05,215,6,0,13,5,165,562,0,0,132,183,5,2,0,22,4,6,61,33,2403,787,141,7,14,180,24,21,8,33,33,8,15,118,174,0,79,4,12,67,26,652
06,Area 06,1482,11,0,4,9,926,1189,1,23,414,725,16,6,18,155,27,79,250,136,3675,1088,380,51,30,223,46,29,46,56,132,59,60,274,173,12,157,13,92,229,98,1351
07,Area 07,1100,3,0,3,13,700,414,2,10,201,465,10,6,0,68,9,62,58,71,1677,684,212,21,7,88,17,7,14,33,94,19,44,152,71,3,98,3,29,125,52,693
08,Area 08,3279,28,0,13,16,1516,798,7,40,397,1099,8,9,9,192,18,227,135,137,1635,504,263,46,25,42,25,20,41,26,167,24,52,180,204,8,94,6,94,223,79,1162
09,Area 09,48,0,0,0,8,24,106,0,0,20,32,0,0,0,1,4,0,12,5,448,214,38,1,0,24,1,0,7,21,3,0,1,28,19,0,23,0,2,20,5,97
10,Area 10,255,0,0,0,15,233,798,0,1,49,81,5,0,2,32,0,2,32,163,2249,1183,160,21,1,125,35,10,9,26,21,17,8,110,168,0,71,3,17,85,33,532
11,Area 11,188,8,0,0,85,163,911,1,1,79,90,15,1,0,47,0,2,39,568,2545,1220,177,21,7,224,47,3,3,63,21,15,1,167,178,0,59,0,12,26,15,619
12,Area 12,310,10,0,2,44,224,670,1,0,86,211,19,0,1,62,0,6,41,239,1038,383,127,16,6,92,18,3,0,11,20,15,9,108,94,0,54,2,19,42,11,404
13,Area 13,917,21,14,27,116,297,1028,0,1,102,843,5,0,4,371,8,4,44,647,1633,479,127,17,23,156,53,17,3,60,17,2,10,182,197,0,60,7,6,26,17,697
14,Area 14,1579,4,0,102,322,289,2829,1,2,121,648,85,5,1,181,5,2,105,999,16119,2083,303,76,21,1879,268,29,30,284,17,16,15,429,2448,1,329,1,39,90,66,4378
15,Area 15,250,0,0,2,19,154,2014,5,4,86,146,19,2,0,29,0,3,48,162,13673,5774,403,131,54,1231,212,89,21,323,45,26,32,625,1166,7,307,7,45,99,62,2868
16,Area 16,408,11,0,5,35,192,2213,1,5,112,218,13,0,1,110,2,10,191,174,14093,4462,441,92,36,1433,288,38,23,280,72,78,47,457,1364,5,232,21,45,102,32,3104
17,Area 17,158,0,0,0,8,81,1125,0,0,34,37,0,0,0,41,1,0,27,65,5203,2777,201,24,20,480,57,43,13,106,27,13,17,208,313,1,153,1,21,40,17,1048
18,Area 18,48,0,0,0,0,4,299,0,0,6,9,0,0,1,5,0,0,6,10,4417,1791,83,47,4,261,71,19,1,78,19,2,1,118,144,2,54,1,11,10,6,473
19,Area 19,110,0,0,1,46,63,1216,0,0,21,17,7,0,2,17,1,1,30,86,41232,12110,427,267,38,2137,584,186,52,643,77,26,29,503,1735,3,377,12,31,81,138,4233
20,Area 20,25,0,0,0,0,16,229,0,0,7,7,0,0,0,8,0,0,2,28,12635,6337,131,139,33,725,296,32,11,219,23,0,8,126,416,3,74,0,21,40,10,1252
21,Area 21,223,0,0,3,1,89,594,0,3,69,97,3,1,0,38,0,4,55,29,16192,4465,286,107,19,1131,218,43,24,206,44,15,21,238,1448,2,119,15,24,72,42,2508
22,Area 22,445,6,0,8,14,264,489,5,4,107,336,10,6,1,53,9,20,65,55,20147,11662,608,196,45,1062,430,75,40,234,83,14,39,341,1148,4,150,16,40,155,57,2689
