DISTRICT_AREA,NAME,LATINO,WHITE,BLACK,ASIAN,OTHER
CITY,CITY,778862,854717,872286,144903,44273
1,Far North Side,95313,242305,46990,56400,12564
2,Northwest Side,150399,104988,6748,10503,3914
3,North Side,77734,193958,12046,13496,5863
4,West Side,165957,85124,210889,12496,6120
5,Central,7186,86673,18108,16105,3041
6,South Side,14227,32785,177740,28030,5110
7,Southwest Side,211228,56933,111610,6916,2827
8,Far Southwest Side,18765,41177,115294,651,2074
9,Far Southeast Side,38053,10774,172861,306,2760
01,A01 Rogers Park,13433,21618,14461,3523,1917
02,A02 West Ridge,14701,30706,8015,16184,2333
03,A03 Uptown,8009,29098,11275,6414,1556
04,A04 Lincoln Square,7562,24916,1488,4399,1117
05,A05 North Center,4330,24634,738,1449,700
06,A06 Lake View,7198,75845,3651,5653,1977
07,A07 Lincoln Park,3571,53138,2753,3296,1341
08,A08 Near N. Side,3974,58033,8732,8140,1580
09,A09 Edison Park,872,9885,29,269,131
10,A10 Norwood Park,4442,30157,164,1696,563
11,A11 Jefferson Park,4927,17475,265,2256,514
12,A12 Forest Glen,2126,13815,137,1989,439
13,A13 North Park,3224,8847,573,4600,670
14,A14 Albany Park,25487,15054,2076,7430,1473
15,A15 Portage Park,24861,34329,856,2972,1085
16,A16 Irving Park,24332,22234,1736,3736,1315
17,A17 Dunning,9997,29512,308,1587,522
18,A18 Montclare,7248,5041,598,377,162
19,A19 Belmont Cragin,62101,11959,2493,1537,645
20,A20 Hermosa,21860,1913,757,294,185
21,A21 Avondale,25295,11166,991,1194,611
22,A22 Logan Square,37340,29175,3913,1904,1234
23,A23 Humboldt Park,30046,2502,23030,222,498
24,A24 West Town,23856,46390,6391,3030,1737
25,A25 Austin,8722,4364,83837,573,1005
26,A26 W. Garfield P.,348,133,17315,8,196
27,A27 E. Garfield P.,850,698,18696,83,239
28,A28 Near West Side,5048,23042,17303,8022,1438
29,A29 N. Lawndale,2144,492,32835,74,366
30,A30 S. Lawndale,65457,3056,10374,113,286
31,A31 Lower W. Side,29486,4447,1108,371,355
32,A32 Loop,2010,18359,3361,4658,879
33,A33 Near S. Side,1202,10281,6015,3307,582
34,A34 Armour S.,464,1642,1419,9721,144
35,A35 Douglas,465,1810,13247,2313,400
36,A36 Oakland,87,122,5567,35,105
37,A37 Fuller Park,132,47,2651,7,39
38,A38 G. Boulevard,395,391,20645,57,439
39,A39 Kenwood,542,2942,12821,973,559
40,A40 Washington P.,104,87,11370,12,144
41,A41 Hyde Park,1626,11992,7815,3185,1061
42,A42 Woodlawn,543,1707,22654,567,512
43,A43 South Shore,854,640,47289,101,880
44,A44 Chatham,311,112,30160,27,416
45,A45 Avalon Park,153,81,9751,19,177
46,A46 South Chicago,6774,599,23296,67,444
47,A47 Burnside,20,19,2849,0,28
48,A48 Calumet Heights,569,126,12897,26,194
49,A49 Roseland,458,188,43447,27,492
50,A50 Pullman,571,522,6122,5,105
51,A51 South Deering,4809,725,9354,18,202
52,A52 East Side,18076,3969,777,53,162
53,A53 West Pullman,1509,166,27593,14,367
54,A54 Riverdale,132,32,6251,2,65
55,A55 Hegewisch,4671,4235,364,48,108
56,A56 Garfield Ridge,13515,18372,2040,346,237
57,A57 Archer Heights,10182,2874,130,138,69
58,A58 Brighton Park,38693,3682,542,2252,199
59,A59 Mckinley Park,10111,2667,234,2445,153
60,A60 Bridgeport,8627,11225,672,11038,408
61,A61 New City,25431,4697,13148,727,368
62,A62 West Elsdon,14314,3250,255,222,68
63,A63 Gage Park,35589,1892,2161,121,126
64,A64 Clearing,10484,11921,282,212,236
65,A65 West Lawn,26669,4924,1390,210,159
66,A66 Chicago Lawn,25141,2419,27403,190,473
67,A67 W. Englewood,774,130,34178,19,404
68,A68 Englewood,325,105,29847,34,335
69,A69 GCD,388,180,31590,21,419
70,A70 Ashburn,15132,6251,18976,276,445
71,A71 Auburn Gresham,459,134,47661,33,454
72,A72 Beverly,915,11785,6838,112,375
73,A73 Washington H.,258,121,25793,12,305
74,A74 Mount G.,1382,16413,987,126,182
75,A75 Morgan Park,619,6473,15039,92,313
76,A76 Ohare,1212,9845,403,1058,236
77,A77 Edgewater ,9318,30889,8104,6582,1615
