STUSAB;SUMLEV;COUNTY;COUSUB;PLACE;GEOID2;CHGOCA;TRACT;NAME;NHW;NHB;NHAM;NHAS;NHOTHER;HISP;MULTI;TOTAL;P003001;P003002;P003003;P003004;P003005;P003006;P003007;P003008;P005001;P005002;P005003;P005004;P005005;P005006;P005007;P005008;P005009;P005010;P005011;P005012;P005013;P005014;P005015;P005016;P005017;P006001;P006002;P006003;P006004;P006005;P006006;P006007;PCT05001;PCT05002;PCT05003;PCT05004;PCT05005;PCT05006;PCT05007;PCT05008;PCT05009;PCT05010;PCT05011;PCT05012;PCT05013;PCT05014;PCT05015;PCT05016;PCT05017;PCT05018;PCT05019;PCT05020;PCT05021;PCT05022;PCT11003;PCT11004;PCT11005;PCT11006;PCT11007;PCT11008;PCT11009;PCT11010;PCT11011;PCT11012;PCT11013;PCT11014;PCT11015;PCT11016;PCT11017;PCT11018;PCT11019;PCT11020;PCT11021;PCT11022;PCT11023;PCT11024;PCT11025;PCT11026;PCT11027;PCT11028;PCT11029;PCT11030;PCT11031;
;;;;;;;;;White alone, not Hispanic or Latino;Black or African American alone, not Hispanic or Latino;American Indian and Alaska Native alone, not Hispanic or Latino;Asian alone, not Hispanic or Latino;Other single race alone, not Hispanic or Latino;Hispanic or Latino;Two or more races, not Hispanic or Latino;Total;Total;White alone;Black or African American alone;American Indian and Alaska Native alone;Asian alone;Native Hawaiian and other Pacific Islander alone;Some other race alone;Two or more races;Total;Not Hispanic or Latino [subtotal];White alone, not Hispanic or Latino;Black or African American alone, not Hispanic or Latino;American Indian and Alaska Native alone, not Hispanic or Latino;Asian alone, not Hispanic or Latino;Native Hawaiian and other Pacific Islander alone, not Hispanic or Latino;Some other race alone, not Hispanic or Latino;Two or more races, not Hispanic or Latino;Hispanic or Latino [subtotal];White alone, Hispanic or Latino;Black or African American alone, Hispanic or Latino;American Indian and Alaska Native alone, Hispanic or Latino;Asian alone, Hispanic or Latino;Native Hawaiian and other Pacific Islander alone, Hispanic or Latino;Some other race alone, Hispanic or Latino;Two or more races, Hispanic or Latino;Total races tallied;White alone or in combination with one or more other races;Black or African American alone or in combination with one or more other races;American Indian and Alaska Native alone or in combination with one or more other races;Asian alone or in combination with one or more other races;Native Hawaiian and other Pacific Islander alone or in combination with one or more other races;Some other race alone or in combination with one or more other races;Asian alone with one Asian category;Asian Indian;Bangladeshi;Bhutanese;Burmese;Cambodian;Chinese (except Taiwanese);Filipino;Hmong;Indonesian;Japanese;Korean;Laotian;Malaysian;Nepalese;Pakistani;Sri Lankan;Taiwanese;Thai;Vietnamese;Other Asian, specified;Other Asian, not specified;Hispanic or Latino by specific origin;Mexican;Puerto Rican Cuban;Cuban;Dominican;Central American (excluding Mexican) [subtotal];Costa Rican;Guatemalan;Honduran;Nicaraguan;Panamanian;Salvadoran;Other Central American;South American [subtotal];Argentinean;Bolivian;Chilean;Colombian;Ecuadorian;Paraguayan;Peruvian;Uruguayan;Venezuelan;Other South American;Other Hispanic or Latino [subtotal];Spaniard;Spanish;Spanish American;All other Hispanic or Latino;
IL;040;;;;Illinois;;;Illinois;8167753;1832924;18849;580586;18985;2027578;183957;12830632;12830632;9177877;1866414;43963;586934;4050;861412;289982;12830632;10803054;8167753;1832924;18849;580586;2977;16008;183957;2027578;1010124;33490;25114;6348;1073;845404;106025;13139455;9423048;1974113;101451;668694;13546;958603;576786;188328;1895;467;2675;3526;98269;114724;572;1144;17542;61469;5822;635;1277;29646;1148;5600;7430;25036;2130;7451;2027578;1602403;182989;22541;5691;70000;1874;35321;12023;3078;2843;14217;644;67862;5294;2304;2753;19345;22816;423;10213;737;3283;694;76092;11666;7111;317;56998;
IL;160;;;14000;Chicago;;;Chicago city;854717;872286;4097;144903;4784;778862;35949;2695598;2695598;1212835;887608;13337;147164;1013;360493;73148;2695598;1916736;854717;872286;4097;144903;557;4227;35949;778862;358118;15322;9240;2261;456;356266;37199;2774441;1270097;913009;26933;166770;3770;393862;144193;29948;624;276;648;1204;42060;29664;85;294;4347;11422;414;110;534;7008;335;1111;2658;8930;657;1864;778862;578100;102703;8331;2737;31263;681;17973;5021;1239;883;5204;262;32129;1743;626;876;7547;15466;101;4075;267;1121;307;23599;3173;1697;66;18663;
IL;070;;14000;14000;01;01;;CA 01;21618;14461;142;3523;241;13433;1573;54991;54991;27721;14853;334;3579;47;6043;2414;54991;41558;21618;14461;142;3523;39;202;1573;13433;6103;392;192;56;8;5841;841;57697;29541;16000;884;4320;149;6803;3448;740;19;213;224;28;503;632;4;5;126;183;7;10;83;343;7;13;40;148;16;104;13433;10268;869;215;72;839;22;384;98;19;32;260;24;640;67;15;35;173;136;1;133;16;48;16;530;82;74;1;373;
IL;080;031;14000;14000;01010100;01;010100;CA 01 Tract 010100;1501;2390;13;150;22;616;162;4854;4854;1810;2437;33;150;1;203;220;4854;4238;1501;2390;13;150;0;22;162;616;309;47;20;0;1;181;58;5099;1951;2584;78;208;8;270;149;28;0;0;0;7;24;45;0;0;6;9;0;3;0;8;0;4;5;1;2;7;616;372;102;14;12;46;0;24;7;1;0;6;8;36;4;0;2;8;10;0;3;0;5;4;34;7;2;0;25;
IL;080;031;14000;14000;01010201;01;010201;CA 01 Tract 010201;1501;2291;28;299;53;2049;229;6450;6450;2312;2350;48;299;6;1100;335;6450;4401;1501;2291;28;299;6;47;229;2049;811;59;20;0;0;1053;106;6839;2547;2542;137;389;24;1200;288;57;4;6;2;2;28;53;0;1;11;14;0;0;0;75;0;2;3;25;2;3;2049;1638;133;23;6;120;0;64;10;1;5;37;3;50;3;1;6;8;4;0;19;3;3;3;79;8;21;1;49;
IL;080;031;14000;14000;01010202;01;010202;CA 01 Tract 010202;839;935;14;139;8;789;94;2818;2818;1237;953;18;143;1;335;131;2818;2029;839;935;14;139;0;8;94;789;398;18;4;4;1;327;37;2981;1335;1028;54;179;12;373;139;16;0;13;21;1;19;16;2;0;3;5;0;0;6;16;1;0;4;2;0;14;789;639;46;4;7;34;0;17;5;1;1;10;0;34;6;0;2;7;10;0;7;0;2;0;25;4;4;0;17;
IL;080;031;14000;14000;01010300;01;010300;CA 01 Tract 010300;2836;1691;13;332;34;1169;161;6236;6236;3267;1722;21;346;16;634;230;6236;5067;2836;1691;13;332;16;18;161;1169;431;31;8;14;0;616;69;6487;3432;1839;60;418;38;700;333;41;1;19;82;2;60;43;0;0;17;18;0;3;5;12;3;2;1;5;0;19;1169;825;89;22;5;89;7;36;9;1;5;30;1;69;7;3;2;14;15;1;14;5;5;3;70;4;9;0;57;
IL;080;031;14000;14000;01010400;01;010400;CA 01 Tract 010400;3097;707;10;551;26;480;171;5042;5042;3341;729;17;562;5;166;222;5042;4562;3097;707;10;551;4;22;171;480;244;22;7;11;1;144;51;5291;3506;816;69;677;8;215;534;180;1;33;34;1;67;81;0;0;7;37;0;1;9;45;1;1;7;15;3;11;480;262;64;31;9;26;3;14;1;1;2;4;1;63;8;1;1;17;19;0;14;0;3;0;25;8;6;0;11;
IL;080;031;14000;14000;01010501;01;010501;CA 01 Tract 010501;1755;1271;14;381;31;506;133;4091;4091;2018;1300;23;383;5;191;171;4091;3585;1755;1271;14;381;4;27;133;506;263;29;9;2;1;164;38;4278;2151;1384;68;445;7;223;365;56;0;30;26;0;22;116;2;2;10;35;1;0;28;4;2;1;1;9;4;16;506;316;61;10;3;52;4;15;18;0;4;10;1;46;6;0;1;19;8;0;5;5;2;0;18;4;2;0;12;
